[TOURNAMENT]
//Name, Number of Sets, Set Type, Last Set Type
Torneio Exemplo,1,NormalSet,MatchTieBreak

[CATEGORIES]
//Name, Category Type, Match Type, Is Groups Finished, Random Doubles, Initialized
1a Classe Simples,SingleElimination,Single,,,True
2a Classe Simples,Groups,Single,True,,True
3a Classe Simples,RoundRobin,Single,,,True
4a Classe Simples,Groups,Single,True,,True

[PLAYERS]
//Name, Category, Seed Number, Is Seed
Player A,1a Classe Simples,1,True
Player B,1a Classe Simples,2,True
Player C,1a Classe Simples,3,True
Player D,1a Classe Simples,0,False
Player E,1a Classe Simples,0,False
Player F,1a Classe Simples,0,False
Player G,1a Classe Simples,0,False
Player H,1a Classe Simples,0,True

PlayerA,2a Classe Simples,1,True
PlayerB,2a Classe Simples,2,True
PlayerC,2a Classe Simples,3,True
PlayerD,2a Classe Simples,0,False
PlayerE,2a Classe Simples,0,False
PlayerF,2a Classe Simples,0,False
PlayerG,2a Classe Simples,0,False

PlayerA,3a Classe Simples,1,True
PlayerB,3a Classe Simples,2,True
PlayerC,3a Classe Simples,0,False
PlayerD,3a Classe Simples,0,False
PlayerE,3a Classe Simples,0,False

PlayerA,4a Classe Simples,1,True
PlayerB,4a Classe Simples,2,True
PlayerC,4a Classe Simples,0,False
PlayerD,4a Classe Simples,0,False
PlayerE,4a Classe Simples,0,False
PlayerF,4a Classe Simples,0,False
PlayerG,4a Classe Simples,0,False
PlayerH,4a Classe Simples,0,True
PlayerI,4a Classe Simples,0,False

[GROUPS]
//Category, Group, Player
2a Classe Simples,1,PlayerA
2a Classe Simples,1,PlayerC
2a Classe Simples,1,PlayerD

2a Classe Simples,2,PlayerB
2a Classe Simples,2,PlayerE
2a Classe Simples,2,PlayerF
2a Classe Simples,2,PlayerG

4a Classe Simples,1,PlayerA
4a Classe Simples,1,PlayerE
4a Classe Simples,1,PlayerD

4a Classe Simples,2,PlayerB
4a Classe Simples,2,PlayerI
4a Classe Simples,2,PlayerC

4a Classe Simples,3,PlayerH
4a Classe Simples,3,PlayerG
4a Classe Simples,3,PlayerF

[MATCHES]
//Category, Key, Player 1, Player 2, Score, Score Type, Sets, Set Type, Last Set Type, Is Players Set
1a Classe Simples,004FP001,Player A,Player G,6x0,Normal,,,,True
1a Classe Simples,004FP002,Player E,Player H,5x7,Normal,,,,True
1a Classe Simples,004FP003,Player C,Player F,6x4,Normal,,,,True
1a Classe Simples,004FP004,Player D,Player B,6x7,Normal,,,,True
1a Classe Simples,002FP001,Player A,Player H,6x1,Normal,,,,True
1a Classe Simples,002FP002,Player C,Player B,5x7,Normal,,,,True
1a Classe Simples,001FP001,Player A,Player B,7x6,Normal,,,,True

2a Classe Simples,001GR001,PlayerA,PlayerC,6x0,Normal,,,,True
2a Classe Simples,001GR002,PlayerA,PlayerD,6x0,Normal,,,,True
2a Classe Simples,001GR003,PlayerC,PlayerD,6x0,Normal,,,,True
2a Classe Simples,002GR001,PlayerB,PlayerE,6x3,Normal,,,,True
2a Classe Simples,002GR002,PlayerB,PlayerF,6x3,Normal,,,,True
2a Classe Simples,002GR003,PlayerB,PlayerG,6x3,Normal,,,,True
2a Classe Simples,002GR004,PlayerE,PlayerF,6x3,Normal,,,,True
2a Classe Simples,002GR005,PlayerE,PlayerG,6x3,Normal,,,,True
2a Classe Simples,002GR006,PlayerF,PlayerG,6x3,Normal,,,,True
2a Classe Simples,002FP001,PlayerB,PlayerC,6x4,Normal,,,,True
2a Classe Simples,002FP002,PlayerE,PlayerA,1x6,Normal,,,,True
2a Classe Simples,001FP001,PlayerB,PlayerA,4x6,Normal,,,,True

3a Classe Simples,010GU001,PlayerA,PlayerB,,,,,,True
3a Classe Simples,010GU002,PlayerA,PlayerC,,,,,,True
3a Classe Simples,010GU003,PlayerA,PlayerD,,,,,,True
3a Classe Simples,010GU004,PlayerA,PlayerE,,,,,,True
3a Classe Simples,010GU005,PlayerB,PlayerC,,,,,,True
3a Classe Simples,010GU006,PlayerB,PlayerD,,,,,,True
3a Classe Simples,010GU007,PlayerB,PlayerE,,,,,,True
3a Classe Simples,010GU008,PlayerC,PlayerD,,,,,,True
3a Classe Simples,010GU009,PlayerC,PlayerE,,,,,,True
3a Classe Simples,010GU010,PlayerD,PlayerE,,,,,,True

4a Classe Simples,001GR001,PlayerA,PlayerE,6x0,Normal,,,,True
4a Classe Simples,001GR002,PlayerA,PlayerD,6x0,Normal,,,,True
4a Classe Simples,001GR003,PlayerE,PlayerD,6x0,Normal,,,,True
4a Classe Simples,002GR001,PlayerB,PlayerI,6x2,Normal,,,,True
4a Classe Simples,002GR002,PlayerB,PlayerC,6x2,Normal,,,,True
4a Classe Simples,002GR003,PlayerI,PlayerC,6x2,Normal,,,,True
4a Classe Simples,003GR001,PlayerH,PlayerG,6x4,Normal,,,,True
4a Classe Simples,003GR002,PlayerH,PlayerF,6x4,Normal,,,,True
4a Classe Simples,003GR003,PlayerG,PlayerF,6x4,Normal,,,,True
4a Classe Simples,004FP001,PlayerA,None,,Bye_to_T1,,,,True
4a Classe Simples,004FP002,PlayerI,PlayerG,6x1,Normal,,,,True
4a Classe Simples,004FP003,PlayerH,PlayerE,6x2,Normal,,,,True
4a Classe Simples,004FP004,None,PlayerB,,Bye_to_T2,,,,True
4a Classe Simples,002FP001,PlayerA,PlayerI,6x4,Normal,,,,True
4a Classe Simples,002FP002,PlayerH,PlayerB,4x6,Normal,,,,True
4a Classe Simples,001FP001,PlayerA,PlayerB,,,,,,True

